text,label
way plug u unless go converter,0
good case excellent value,1
great jawbone,1
tied charger conversation lasting minutesmajor problem,0
mic great,1
jiggle plug get line right get decent volume,0
several dozen several hundred contact imagine fun sending one one,0
razr owneryou must,1
needle say wasted money,0
waste money time,0
sound quality great,1
impressed going original battery extended battery,1
two seperated mere ft started notice excessive static garbled sound headset,0
good quality though,1
design odd ear clip comfortable,0
highly recommend one blue tooth phone,1
advise everyone fooled,0
far good,1
work great,1
click place way make wonder long mechanism would last,0
went motorolas website followed direction could get pair,0
bought use kindle fire absolutely loved,1
commercial misleading,0
yet run new battery two bar thats three day without charging,1
bought mother problem battery,0
great pocket pc phone combination,1
ive owned phone month say best mobile phone ive,1
didnt think instruction provided helpful,0
people couldnt hear talk pull earphone talk phone,0
doesnt hold charge,0
simple little phone use breakage unacceptible,0
product ideal people like whose ear sensitive,1
unusable moving car freeway speed,0
two year left contract hate phone,0
car charger well ac charger included make sure never run juicehighy recommended,1
need least min get phone book time first turn phonebattery life short,0
kept well,1
poor talk time performance,0
case great work fine,1
worthless product,0
great camera thats mp pic nice clear great picture quality,1
impressed product,0
nice headset priced right,1
hear garbage audio,0
excellent bluetooth headset,1
feature want,1
right mind gonna buy battery,0
arguing verizon regarding dropped call returned phone two day,0
case seems well made,1
disappointed battery,0
loud enough doesnt turn like,0
good protection make phone bulky,1
usable keyboard actually turn pda realworld useful machine instead neat gadget,1
phone pretty sturdy ive never large problem,1
love thing,1
everything fine reasonable price ie,1
disappointed,0
even dropped phone stream submerged second still work great,1
happy complaint one regarding sound quality end,1
button bad,0
essentially forget microsofts tech support,0
really recommend faceplate since look nice elegant cool,1
headphone great find think perhaps best purchase ive made last several year seriously,1
buy different phone,0
hold phone particular angle party hear clearly,0
one big drawback mp player button phone front cover let pause skip song lock second,0
week later activated suddenly died,0
feel comfortable headset wear glass get way sometimes,1
great ipod,1
device great several situation,1
mic doesnt work,0
even bmw series fairly quiet trouble hearing person saying,0
great choice,1
nice docking station home work,1
beautiful phone,1
love product,1
buy dwrongly advertised,0
great little item,1
love phone handy lot feature,1
purchased within day longer working,0
wear everyday hold well,1
good bargain,0
well packaged arrived time work intended,1
battery run quickly,0
item worked great broke month use,0
headset easy use everyone love,1
phone work great,1
construction headset poor,0
product excellent work better verizon one boy cheaper,1
phone load super,1
product cost much one expect work far better greater ease thing,0
made sturdy,1
worked great,1
ear bud play music one ear,0
dont waste money,0
order,1
plan use car forget,0
found product waaay big,0
best ive found far ive tried bluetooths one best quality listener well ease using,1
im disappointed decision,0
integrated seamlessly motorola razr phone,1
buyer beware could flush money right toilet,0
definitely bargain,1
price good free shipping good purchase,1
received supposedly new motorola apparently match phone charger,0
prosgood camera nice picture also cool style like black white,1
thats huge design flaw unless im using correctly dont think case,0
love headset jabra bluetooth headset great reception good ear piece comfortable fit,1
camera although rated impressive megapixels render image fall well expectation relatively high resolution,0
purcashed car charger work,0
sound quality end excellent use headset call wife ask wife use headset call,1
phone slim light display beautiful,1
little geeky think thats sex toast rock ooze sex right battery embedded sleek stylish leather case,1
great product fast shipping,1
absolutely great,1
keyboard nice compromise full qwerty basic cell phone number keypad,1
got phone around end may im completely unhappy,0
comfortable ear,1
winner u,1
setup couldnt simpler,1
ive tried several different earpiece cell phone jabra one first one ive found fit ear comfortably,1
could get strong enough signal,0
iam pleased purchase,1
bad quality,0
get job done,1
great audio,1
basically service bad,0
work cell phone plug set charger,0
ive bluetooth week really like,1
bt headset disapoinment,0
small dont even realize getting used,1
accompanied software almost brilliant,1
headset work great packaged nicely avoid damage,1
definitly recommend,1
buyerbe careful,0
majority logitech earbud headset failed,0
good stuff price,1
headset work peachykeen,1
house getting dropped coverage upstairs coverage basement,0
voice recognition tremendous,1
waste,0
several different minute call experienced drop area bar,0
happy item,0
disappointed,0
phone take forever charge like hour literally,0
got phone reccomendation relative im glad,1
waste time,0
reception poor,0
item stated included description included,0
month screen went black sudden,0
hoping,0
audio quality poor poor,0
absolutely problem headset linking blackberry curve,1
know sound funny seemed like sketchy technology wouldnt work wellwell one work great,1
ive bought wired headphone sound better,0
phone fast sending kind message web browsing significantly faster previous phone used,1
nice quality build unlike cheap,1
item fantastic work perfectly,1
love color,1
wi superb,1
whine internet goesthe use thing le like,0
great charger,1
essentially communication tool communicate,0
work like charm work one got phone,1
still maintain monkey shouldnt make headphone obviously dont share enough dna copy design human,0
great value,1
doesnt work bougth lc working,0
look sharp screen nice clear great graphic,1
doesnt last long,0
one thing hate mode set button side,0
excellent service,1
thank wasting money,0
bethe audio quality poor,0
igo charger tip really great,1
file browser offer option one needshandsfree great,1
superb phone great network,1
connected wife bluetoothmotorola h phone worked like charm whether phone pocket case,1
put latest o vg like slow crawl lock every,0
recognizes phone storage device,0
like loud buzzing override conversation phone,0
dont buy product,0
ive bluetoooth headset time still comfortable way fit ear,0
sound quality good functionality awesome,1
phone thorn side really abhor,0
recently problem could stay connected minute disconnected,0
incredible,1
design flaw,0
great phone,1
waste buck,0
check voice mail night keypad backlight turn second first message im lost,0
replacement died week,0
ring toneoverall good phone buy,1
lately extremely nice helpful phone,1
problem wit hit dropping signal,0
impressed,0
light weight hardly notice,1
youll love thin,1
bad choice,0
pleather case doesnt fit,0
useless phone simply deaf,0
color even prettier thought would graphic incredibly sharp,1
think good investment,1
make strange ticking noise end call,0
best electronics available fm transmitter,1
battery last hour,0
great headset impressed h,1
mega pixel camera part phone reasonably good,1
ive nearly year worked great,1
good transmit audio,1
sending back,0
bother contacting company dollar product learned lesson bought form online anyway,0
hate earbugs avoid phone mean,0
great price also,1
range decent ive able roam around house phone living room receptionsound quality issue,1
fast service,1
would highly recommend,1
would recommend,1
also didnt like button felt like would crack use,0
worst phone ever,0
im still infatuated phone,1
freeze frequently,0
kind embarrassing use look mostly embarrassing childlike company,0
simple lightweight great fit,1
id expected better consumer experience motorola,0
there horrible tick sound background call never experienced,0
certainly comfortable functionality decent,1
usually dont like headband one lightweight doesnt mess hair,1
im bit disappointed,0
phone year tell great,0
ordered sony ericsson wi think worked thats first used,0
battery completely useless,0
big waste time,0
dont waste one,0
great sound service,1
really pleased product far,1
one favorite purchase ever,1
best bluetooth market,1
authentic leather nice shine comfort recommend case,1
excited get headset thought really cute,1
make mistake,0
big disappointment calendar sync,0
phone unusable new,0
worst customer service ever,0
additional ear gel provided instruction whatsoever,0
defeat purpose bluetooth headset,0
worth every penny,1
excellent wallet type phone case,1
nice headphone price work great,1
internet excrutiatingly slow,0
comfortable wear well probably important aspect using case,1
fit like glove strong secure durable,1
gosh best phone ever,1
attractive appears good quality,1
love feature form factor,1
product strong rubberpetroleum smell unbearable caused return,0
poor quality service,0
cable look thin flimsy scary,0
great earpiece,1
excellent hand free tool,1
great using home stereo,1
good product incredible value,1
month worked flawlessly far,1
work great,1
absolutel junk,0
one didnt work either,0
battery life real good,1
returned hour later,0
great item,1
dont waste money,0
love headset,1
drain player may also potentially fry,0
worked perfectly,1
unreliable im giving,0
gave star sound quality,1
avoid one,0
reversible plug work great,1
wasted little money earpiece,0
good phone,1
best rotating feature helpful,1
comfort whole family,1
good product good seller,1
love bluetooth,1
first doesnt wear well,0
impressed headset plantronics,1
got small adorable,1
great phone,1
wouldnt recommend buying product,0
piece junk,0
poorly contstruct hinge,0
item great installed let charged overnite working good every since problem,1
great phone,1
dont buy,0
excellent phone,1
purchase phone,0
voice recognition thru handset excellent,1
hand best phone ive ever,1
work great cat attacked phone scratched protective strip instead destroying screen,1
one work priced right,1
customer service terrible,0
battery life still long enough motorola razor vi,0
sending back,0
know made wise decision,1
someone shouldve invented sooner,1
good price,1
everything worked first trythe device certainly engineered clever way construction feel good,1
received quickly work great,1
working great,1
many people complained found headset microphone weak,0
year old nokia tracfone hold charge lot better,0
care consumer one bit,0
good battery got really fast,1
instruction manual lacking,0
also slim enough fit alarm clock docking station without removing case,1
phone hold charge like new,1
battery unreliable well service use antena,0
uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,0
gotten lot compliment,1
definitely must state allow cell phone usage driving,1
want money back,0
love device,1
also happy price,1
ordered product first unhappy immediately,0
ngage still lacking earbuds,0
able voice dialing car problem,1
bar cell phone home cant hear anything,0
good item low price,1
howeverthe riingtones best neither game,0
plug work well,0
amazon suck,0
rip charge shipping,0
comfortable,1
battery working well replacement original came phone year ago,1
reception excellent,1
fit comfortably either ear sound clear loud charge last couple day,1
clear quality sound dont mess sound ipod since sound button headset,1
long lasting battery dont recharge frequentyly flip phone,0
obviously problem adhesive,0
disappointing,0
inexpensive piece would still expected better quality,0
practically useless add kind boost reception bought,0
excellent sound quality,1
happy,0
piece junk broke phone day,0
new battery work great phone,1
worst customer service,0
ive dropped phone time say even concrete phone still great knock wood,1
reception terrible full static,0
good audio quality,1
little device transformed organizational capability made life whole lot easier,1
sitting vehicle cradle belt headset lost signal,0
jerk phone,0
work like charm work advertised,1
comfortable nice range good battery life,1
network coverage los angeles horrible,0
excellent starter wireless headset,0
loudspeaker option great bumper light appealing,0
thing think could improve sound leak headset,0
first reception suck never bar ever,0
phone get extremely hot,0
microphone also work well according people called applifies everything,1
nice design quality,1
also phone dropped case going save specially dropped face,0
light easy use clear reception transmission,1
bad fit way big,0
definitely good,1
awesome device,1
waste money,0
ordered motorola data cable got well finished working product,1
love phone,1
looking headset long time ive got couldnt happier,1
ill drivng along headset start ringing reason,0
display excellent camera good year,1
battery life also great,1
worst phone ive ever month,0
good item worked started problem auto reverse tape player,0
embarassing also ear hurt try push ear plug ear,0
protects phone side,1
average phone bad battery life operates weak network,0
clear skype call long battery life long range,1
soyo technology suck,0
great hand free device,1
even take self portrait outside exterior display cool,1
problem others mentioned,0
trying many many handsfree gadget one finally work well,1
magical help,1
worst piece crap ever along verizon customer service,0
poor sound quality,0
best phone market,1
worked well,1
company shipped product promptly work well,1
exactly wanted,1
picture resolution far comparablypriced phone offering today,0
great deal,1
excellent product satisfied purchase,1
highly recommend encourage people give try,1
better youd expect,1
using earpiece left right thing stay ear,0
great product price,1
sound good reasonably priced effective simple,1
still waiting im sure item would work well ever recieve,0
disappointment,0
prompt service,1
excellent product price,1
pleased headset,1
dont waste money time,0
especially love long battery life,1
stupid keep buying new charger car charger cradle headphone car kit every time new phone come,0
work great,1
plantronics bluetooth excelent buy,1
came verizon cingulair nicer cell phone first thing noticed really bad service,0
ill looking new earpiece,0
highly recommend device everyone,1
jawbone era awesome,1
received white colored battery go dead couple hoursthe original used last week still last longer thereplacement,0
year battery went completely dead headset,0
used several phone two year one best,1
awesome new look fall,1
first phone ive cheaply made,0
att clear sound distorted yell talk,0
plastic break really easy clip,0
price good,1
dont make mistake,0
oh forgot also mention weird color effect phone,0
im using iriver spinn case fit fine,1
also area unit broke im fond magnetic strap,0
overall psyched phone appointment contact get great reception,1
every thing phone work perfectly like,1
another note phone appearance really look rather bland especially black model,0
really easy,1
sanyo survived dozen drop blacktop without ill effect,1
fantastic earphone,1
find cell phone right away enter car,1
low quality,0
highly recommend modest priced cellular phone,1
get better reception clarity phone ive,1
warning stay away,0
wish could return unit get back money,0
awsome device work great,1
used talk hour battery would literally drained dying,0
dont find bad unit come one earpad onlyi would recommend anyone,0
displeased,0
might gotten defect would risk buying built quality alone,0
made case small difficult install,0
restored phone like new performance,1
would recommend purchasing jabra jx series work flawlessly moto q go figure,1
searched internet found one best value,1
fit,0
happy product,1
screen size big key pad lit well enough camera quality excellent camera phone,1
there really nothing bad say headset,0
im glad found product amazon hard find wasnt high priced,1
portable work,1
colleague get great receptiona little expensive performance great,1
even fully charged went bed turned blue tooth wifi noticed left morning,0
ive also problem phone reading memory card always turn,0
